GEN_EPA_ID,NAICS_CODE,SIC_CODE,Comments
CA7470090203,,,
CA7570024508,92811,9711,
CA7570090186,92811,9711,
CA7572890138,92811,9711,
CA7572890518,92811,9711,
CA7690380037,,,
CA7690390037,92811,9711,
CA7690390441,,,
CA7690390524,92811,9711,
CA7690590495,92615,9651,
CA7800020391,92711,9661,
CA7860090045,92511,9531,
CA7980813836,,,
CA8000004317,,,
CA8122307640,92119,9199,
CA8170024261,92811,9711,
CA8170024281,,,
CA8170027249,92811,9711,
CA8170080023,,,
CA8170090023,92811,9711,
CA8170090601,92119,9199,
CA8180090609,49111,7389,
CA8180090609,49111,4311,
CA8180090617,313311,7389,
CA8180090617,313311,2231,
CA8180090617,313311,5131,
CA8180090617,313311,2262,
CA8180090617,313311,2261,
CA8210020436,92811,9711,
CA8210020832,92119,9199,
CA8210090488,92811,9711,
CA8210190407,,,
CA8210490373,92811,9711,
CA8210490381,92811,9711,
CA8360010328,62211,8062,
CA8360010328,62211,8069,
CA8360090155,621112,8031,
CA8360090155,621498,8093,
CA8360090155,621112,8011,
CA8510190407,,,
CA8570025736,92811,9711,
CA8572800517,,,
CA8572890095,92811,9711,
CA8572890517,92811,9711,
CA8690390440,92811,9711,
CA8690390523,,,
CA8800014583,92711,9661,
CA8890016126,61131,8221,
CA8971524360,454312,5171,
CA8971524360,454312,5984,
CA9089050137,,,
CA9140090193,221122,4939,
CA9140090193,221122,4911,
CA9140090193,221122,4931,
CA9151990208,92214,9223,
CA9170023130,92811,9711,
CA9170024491,,,
CA9170024740,92811,9711,
CA9170024748,,,
CA9170027271,92119,9199,
CA9170067624,92811,9711,
CA9180090129,49111,7389,
CA9180090129,49111,4311,
CA9180090228,49111,4311,
CA9180090228,49111,7389,
CA9180090574,49111,7389,
CA9180090574,49111,4311,
CA9210490372,92811,9711,
CA9210490380,811118,7539,
CA9360090618,621493,8011,
CA9470000093,,,
CA9498330273,,,
CA9570025149,92811,9711,
CA9690308730,54133,8748,
CA9690308730,54133,8711,
CA9800005036,56172,7349,
CA9800005036,56172,7342,
CA9800005036,56172,4581,
CA9800013030,92711,9661,
CA9890090005,221122,4939,
CA9890090005,221122,4911,
CA9890090005,221122,4931,
CA9890090005,221111,4931,
CA9890090005,221111,4939,
CA9890090005,221111,4911,
CA9891290620,221122,4931,
CA9891290620,221122,4939,
CA9891290620,221122,4911,
CA9900336703,483114,4481,
CA9900336703,483114,4482,
CA9900983102,813312,8399,
CA9900983102,813312,8699,
CA9906477436,483114,4481,
CA9906477436,483114,4482,
CA9909050137,483112,4481,
CA9909051612,483111,4412,
CA9909064126,483114,4481,
CA9909064126,483114,4482,
CA9909066667,483114,4482,
CA9909066667,483114,4481,
CA9909156474,483114,4481,
CA9909156474,483114,4482,
CA9909206114,99999,9999,
CA9909210220,483114,4481,
CA9909210220,483114,4482,
CA9909217444,483114,4481,
CA9909217444,483114,4482,
CA9909228186,483112,4481,
CA9909228190,,,
CA9909228198,483114,4481,
CA9909228198,483114,4482,
CA9909243667,483114,4482,
CA9909243667,483114,4481,
CA9909244063,99999,9999,
CA9909438066,483114,4481,
CA9909438066,483114,4482,
CA9982413262,,,
CA9990169524,483112,4481,
CAB000188086,,,
CAB981417008,,,
CAB981632003,,,
CAC000006204,,,
CAC000012435,,,
CAC000017529,,,
CAC000033472,,,
CAC000042504,,,
CAC000045689,,,
CAC000048606,,,
CAC000095233,,,
CAC000100988,,,
CAC000102917,,,
CAC000105735,,,
CAC000123424,,,
CAC000130024,,,
CAC000139399,,,
CAC000142331,,,
CAC000152101,,,
CAC000200655,,,
CAC000205819,,,
CAC000210848,,,
CAC000211507,,,
CAC000224363,,,
CAC000230273,,,
CAC000259611,,,
CAC000260160,,,
CAC000261301,,,
CAC000261517,,,
CAC000261760,,,
CAC000261893,,,
CAC000262174,,,
CAC000262379,,,
CAC000262406,,,
CAC000263578,,,
CAC000263721,,,
CAC000263874,,,
CAC000264132,,,
CAC000265785,,,
CAC000266109,,,
CAC000269861,,,
CAC000280876,,,
CAC000281977,,,
CAC000283214,,,
CAC000296657,,,
CAC000299197,,,
CAC000300285,,,
CAC000300811,,,
CAC000301304,,,
CAC000303603,,,
CAC000310147,,,
CAC000320145,,,
CAC000321942,,,
CAC000324010,,,
CAC000326884,,,
CAC000332254,,,
CAC000470540,,,
CAC000509704,,,
CAC000522984,,,
CAC000571448,,,
CAC000603856,,,
CAC000625392,,,
CAC000651928,,,
