Score,X,Y,GEN_EPA_ID,ZIP5,POINT_X_12_13,POINT_Y_12_13,POINT_X,POINT_Y
100,-118.297219,34.170392,CAL000347573,91201,0,0,-118.297219,34.170392
100,-117.152403,32.884276,CAL000347576,92126,0,0,-117.152403,32.884276
96.14,-118.08958,33.758288,CAL000347592,90740,0,0,-118.08958,33.758288
100,-116.226331,33.725831,CAL000347622,92201,0,0,-116.226331,33.725831
100,-118.282805,33.888641,CAL000347624,90248,0,0,-118.282805,33.888641
100,-122.239241,38.131128,CAL000347627,94589,0,0,-122.239241,38.131128
100,-119.421601,36.571465,CAL000347630,93654,0,0,-119.421601,36.571465
100,-122.19852,37.74215,CAL000347633,94621,0,0,-122.19852,37.74215
100,-117.362632,34.01922,CAL000347647,92501,0,0,-117.362632,34.01922
100,-119.003164,35.35445,CAL000347674,93307,0,0,-119.003164,35.35445
100,-119.148039,34.226737,CAL000347678,93036,0,0,-119.148039,34.226737
100,-122.152568,37.672267,CAL000347687,94580,0,0,-122.152568,37.672267
100,-117.071754,33.135524,CAL000347695,92025,0,0,-117.071754,33.135524
100,-117.186768,33.13915,CAL000347696,92078,0,0,-117.186768,33.13915
100,-117.501956,34.072744,CAL000347700,92335,0,0,-117.501956,34.072744
100,-117.850615,34.106798,CAL000347706,91740,0,0,-117.850615,34.106798
100,-117.967248,34.084606,CAL000347707,91706,0,0,-117.967248,34.084606
100,-121.979861,37.323186,CAL000347731,95051,0,0,-121.979861,37.323186
100,-117.9889,34.118837,CAL000347734,91010,0,0,-117.9889,34.118837
100,-118.331046,33.811038,CAL000347740,90505,0,0,-118.331046,33.811038
100,-116.305477,33.764927,CAL000347746,92211,0,0,-116.305477,33.764927
100,-121.401409,38.605769,CAL000347748,95825,0,0,-121.401409,38.605769
100,-118.326382,33.914106,CAL000347771,90249,0,0,-118.326382,33.914106
100,-118.283,33.893175,CAL000347774,90248,0,0,-118.283,33.893175
100,-117.868847,33.759898,CAL000347810,92706,0,0,-117.868847,33.759898
97.17,-117.909197,34.007715,CAL000347821,91744,0,0,-117.909197,34.007715
100,-117.895962,34.106839,CAL000347823,91702,0,0,-117.895962,34.106839
96.14,-118.155086,33.860259,CAL000347827,90805,0,0,-118.155086,33.860259
100,-117.748645,34.093428,CAL000347840,91767,0,0,-117.748645,34.093428
100,-121.467801,38.50485,CAL000347854,95823,0,0,-121.467801,38.50485
96.93,-118.072795,33.948633,CAL000347860,90670,0,0,-118.072795,33.948633
100,-121.958529,37.377196,CAL000347864,95054,0,0,-121.958529,37.377196
100,-118.442278,34.059174,CAL000347867,90024,0,0,-118.442278,34.059174
100,-118.254782,34.129709,CAL000347869,91204,0,0,-118.254782,34.129709
100,-118.32662,33.858357,CAL000347872,90504,0,0,-118.32662,33.858357
100,-117.185358,33.539456,CAL000347873,92562,0,0,-117.185358,33.539456
100,-119.682671,36.632215,CAL000347875,93625,0,0,-119.682671,36.632215
100,-121.974824,38.361451,CAL000347878,95688,0,0,-121.974824,38.361451
100,-117.529329,34.03228,CAL000347903,91752,0,0,-117.529329,34.03228
100,-117.491307,33.901947,CAL000347907,92505,0,0,-117.491307,33.901947
97.3,-122.064517,37.920573,CAL000347914,94597,0,0,-122.064517,37.920573
100,-118.195373,34.025381,CAL000347923,90023,0,0,-118.195373,34.025381
100,-119.833654,36.750288,CAL000347943,93728,0,0,-119.833654,36.750288
100,-122.45284,37.708846,CAL000347953,94112,0,0,-122.45284,37.708846
100,-117.194698,32.731359,CAL000347972,92101,0,0,-117.194698,32.731359
100,-122.071021,37.617534,CAL000347979,94544,0,0,-122.071021,37.617534
100,-117.623886,33.437674,CAL000347983,92672,0,0,-117.623886,33.437674
100,-117.305011,34.122215,CAL000347993,92411,0,0,-117.305011,34.122215
100,-121.973754,37.240092,CAL000348000,95032,0,0,-121.973754,37.240092
100,-121.965745,37.23596,CAL000348002,95032,0,0,-121.965745,37.23596
97.34,-116.502145,33.955907,CAL000348012,92240,0,0,-116.502145,33.955907
96.97,-117.947889,33.625775,CAL000348017,92663,0,0,-117.947889,33.625775
100,-117.235559,33.830205,CAL000348019,92571,0,0,-117.235559,33.830205
97.89,-117.1118,32.664827,CAL000348021,91950,0,0,-117.1118,32.664827
100,-119.772609,36.701495,CAL000348031,93725,0,0,-119.772609,36.701495
100,-117.407351,33.924484,CAL000348032,92504,0,0,-117.407351,33.924484
100,-122.399969,37.773253,CAL000348033,94103,0,0,-122.399969,37.773253
100,-117.815246,35.645917,CAL000348044,93527,0,0,-117.815246,35.645917
100,-121.930035,37.355801,CAL000348079,95110,0,0,-121.930035,37.355801
100,-120.815363,37.056688,CAL000348091,93635,0,0,-120.815363,37.056688
100,-121.477378,38.647376,CAL000348102,95834,0,0,-121.477378,38.647376
100,-117.137364,33.13808,CAL000348107,92069,0,0,-117.137364,33.13808
100,-118.226912,33.993924,CAL000348117,90255,0,0,-118.226912,33.993924
100,-118.128967,34.649862,CAL000348118,93535,0,0,-118.128967,34.649862
100,-117.385952,34.099469,CAL000348122,92376,0,0,-117.385952,34.099469
100,-117.881372,34.078672,CAL000348128,91723,0,0,-117.881372,34.078672
100,-117.670539,33.548212,CAL000348132,92692,0,0,-117.670539,33.548212
87.35,-117.296405,33.627015,CAL000348156,92530,0,0,-117.296405,33.627015
100,-117.471259,34.051781,CAL000348164,92337,0,0,-117.471259,34.051781
0,0,0,CAL000348168,92267,-114.1903331,34.28311941,-114.1903331,34.28311941
100,-122.410559,37.689662,CAL000348215,94005,0,0,-122.410559,37.689662
100,-122.505167,37.961705,CAL000348217,94901,0,0,-122.505167,37.961705
96.14,-118.153514,33.810666,CAL000348228,90806,0,0,-118.153514,33.810666
100,-118.294383,33.960074,CAL000348238,90044,0,0,-118.294383,33.960074
100,-121.261463,38.581571,CAL000348245,95742,0,0,-121.261463,38.581571
100,-117.560052,34.059163,CAL000348256,91761,0,0,-117.560052,34.059163
100,-121.262911,38.590021,CAL000348271,95742,0,0,-121.262911,38.590021
100,-121.269684,38.116635,CAL000348278,95240,0,0,-121.269684,38.116635
100,-118.281464,34.06046,CAL000348280,90057,0,0,-118.281464,34.06046
96.93,-118.058563,33.946686,CAL000348309,90670,0,0,-118.058563,33.946686
96.93,-118.083016,33.948553,CAL000348311,90670,0,0,-118.083016,33.948553
100,-117.643285,34.057949,CAL000348349,91761,0,0,-117.643285,34.057949
100,-117.856552,33.827389,CAL000348352,92865,0,0,-117.856552,33.827389
100,-117.597539,34.04478,CAL000348376,91761,0,0,-117.597539,34.04478
100,-118.263401,33.775858,CAL000348378,90744,0,0,-118.263401,33.775858
100,-121.939576,37.36453,CAL000348380,95050,0,0,-121.939576,37.36453
100,-116.980878,32.819015,CAL000348384,92020,0,0,-116.980878,32.819015
96.9,-122.481546,38.654145,CAL000348390,94567,0,0,-122.481546,38.654145
0,0,0,CAL000348392,94571,-121.750571,38.15306551,-121.750571,38.15306551
0,0,0,CAL000348393,94571,-121.750571,38.15306551,-121.750571,38.15306551
100,-117.230596,33.83377,CAL000348398,92571,0,0,-117.230596,33.83377
100,-117.960386,34.136027,CAL000348400,91010,0,0,-117.960386,34.136027
100,-118.07811,34.00367,CAL000348403,90660,0,0,-118.07811,34.00367
100,-121.917207,37.359211,CAL000348413,95110,0,0,-121.917207,37.359211
100,-117.689695,33.624904,CAL000348428,92630,0,0,-117.689695,33.624904
100,-121.98498,37.37412,CAL000348429,95051,0,0,-121.98498,37.37412
79,-117.280869,33.120525,CAL000348430,92011,0,0,-117.280869,33.120525
100,-121.95505,37.366316,CAL000348441,95050,0,0,-121.95505,37.366316
100,-117.841503,33.761377,CAL000348471,92705,0,0,-117.841503,33.761377
100,-121.79251,39.705021,CAL000348487,95928,0,0,-121.79251,39.705021
100,-118.354989,33.945496,CAL000348495,90304,0,0,-118.354989,33.945496
100,-117.471111,34.099227,CAL000348503,92335,0,0,-117.471111,34.099227
100,-117.373358,34.031053,CAL000348506,92509,0,0,-117.373358,34.031053
100,-118.110011,33.971112,CAL000348507,90660,0,0,-118.110011,33.971112
100,-118.162834,33.892118,CAL000348513,90723,0,0,-118.162834,33.892118
100,-118.116763,33.9256,CAL000348524,90241,0,0,-118.116763,33.9256
96.86,-117.243583,32.906773,CAL000348529,92037,0,0,-117.243583,32.906773
96.86,-117.933116,33.926769,CAL000348546,90631,0,0,-117.933116,33.926769
98.02,-121.552665,38.583601,CAL000348557,95691,0,0,-121.552665,38.583601
93.43,-117.429282,34.415736,CAL000348567,92344,0,0,-117.429282,34.415736
97.89,-121.386665,38.683163,CAL000348580,95660,0,0,-121.386665,38.683163
