RefundClaim,QuarterYear,ExportGal,InterstateGal,MotorCarrierGal,PurchasedFromCAGal,FedGovGal,TotalOilGal,TotalAmount
14655,July - September 2008,18763,0,0,0,0,18763,3002.08
14656,July - September 2008,0,0,1204,0,0,1204,192.64
14657,July - September 2008,33379,0,0,0,0,33379,5340.64
14658,July - September 2008,14737.06,0,0,0,0,14737.06,2357.93
14659,July - September 2008,20120,0,0,0,0,20120,3219.2
14660,July - September 2008,16643.53,0,0,0,0,16643.53,2662.97
14661,July - September 2008,15666.6,0,0,0,0,15666.6,2506.66
14662,July - September 2008,15706.1,0,0,0,0,15706.1,2512.98
14663,July - September 2008,0,0,1431,0,0,1431,228.96
14664,July - September 2008,10137.59,0,0,0,0,10137.59,1622.01
14665,October - December 2008,25811.42,0,0,0,0,25811.42,4129.83
14666,July - September 2008,329,0,1012,0,0,1341,214.56
14667,July - September 2008,0,0,3117,0,0,3117,498.72
14668,July - September 2008,29264,0,0,0,0,29264,4682.24
14673,July - September 2008,18283,0,0,0,0,18283,2925.28
14674,July - September 2008,0,0,3577,0,0,3577,572.32
14675,July - September 2008,1031,0,2898,0,0,3929,628.64
14678,July - September 2008,1674,0,0,0,0,1674,267.84
14679,July - September 2008,0,0,1842,0,0,1842,294.72
14680,July - September 2008,0,0,1565.38,0,0,1565.38,250.46
14681,July - September 2008,0,0,716.38,0,0,716.38,114.62
14682,July - September 2008,0,0,700,0,0,700,112
14683,July - September 2008,1502,0,891,0,0,2393,382.88
14684,July - September 2008,0,0,18481.5,0,0,18481.5,2957.04
14685,July - September 2008,0,0,1320,0,0,1320,211.2
14686,July - September 2008,10603.34,0,0,0,0,10603.34,1696.53
14687,July - September 2008,0,0,785,0,0,785,125.6
14688,July - September 2008,0,0,2507,0,0,2507,401.12
14689,July - September 2008,9717,0,0,0,0,9717,1554.72
14690,July - September 2008,252,0,1244,0,0,1496,239.36
14691,July - September 2008,62138.82,0,0,0,0,62138.82,9942.21
14692,July - September 2008,17379,0,2590,0,0,19969,3195.04
14693,July - September 2008,14443.56,0,0,0,0,14443.56,2310.97
14694,July - September 2008,4400,0,0,0,0,4400,704
14695,July - September 2008,0,0,2945,0,0,2945,471.2
14696,October - December 2008,0,0,2338,0,0,2338,374.08
14697,July - September 2008,1650,0,0,0,0,1650,264
14699,July - September 2008,0,0,3104,0,0,3104,496.64
