SourceName,RptSrc,SrcEPAID,DestinationName,DestType,DestEPAID,QuarterYear,LubeOil,IndOil,Total
Prime Environmental Services Company,Hauler,CAL931024039,D/K Environmental,Recycler,CAT080033681,January - March 2004,3245,,3245
Prime Environmental Services Company,Hauler,CAL931024039,Express Environmental Corp._dba Express Oil,Transfer Station,CAL000264806,January - March 2004,890,,890
PSC Environmental Services of Pomona LP,Hauler,CAR000053405,Demenno/Kerdoon,Recycler,CAT080013352,January - March 2004,11288,,11288
Quinn Power Systems Associates,Hauler,CAL000274369,Demenno/Kerdoon,Recycler,CAT080013352,January - March 2004,170,,170
Rae-Vac Pumping,Hauler,CAR000053272,Evergreen Environmental Services (Carson),Recycler,CAD981696420,January - March 2004,22865,,22865
Ramos Environmental Services,Hauler,CAD044003556,Ramos Environmental Services,Hauler,CAD044003556,January - March 2004,301885,,301885
Ramos Environmental Services,Hauler,CAD044003556,Ramos Environmental Services,Transfer Station,CAD044003556,January - March 2004,301885,,301885
RCA Oil Recovery,Hauler,CAD981385149,Alviso Independent Oil_ Inc.,Transfer Station,CAL000161743,January - March 2004,41591,,41591
Reno Drain Oil Service,Hauler,NVD980893663,Reno Drain Oil Service,Hauler,NVD980893663,January - March 2004,49595,,49595
Reno Drain Oil Service,Hauler,NVD980893663,Reno Drain Oil Service,Transfer Station,NVD980893663,January - March 2004,49595,,49595
Romic Environmental Technologies Corporation,Hauler,CAD009452657,Evergreen Oil,Recycler,CAD980887418,January - March 2004,14332,,14332
Sacramento Waste Oil,Hauler,CAL913534912,Ramos Environmental Services,Hauler,CAD044003556,January - March 2004,52739,,52739
Sacramento Waste Oil,Hauler,CAL913534912,Ramos Environmental Services,Transfer Station,CAD044003556,January - March 2004,52739,,52739
Safety-Kleen,Hauler,TXR000050930,DK Dixon,Hauler,CAT080012602,January - March 2004,449743,,449743
Safety-Kleen,Hauler,TXR000050930,Demenno/Kerdoon,Recycler,CAT080013352,January - March 2004,959826,,959826
Safety-Kleen,Hauler,TXR000050930,Veoliaes (formerly) Onyx Environmental Servic,Recycler,CAD008302903,January - March 2004,19693,,19693
Safety-Kleen,Hauler,TXR000050930,Advanced Environmental_ Inc.,Recycler,CAT080025711,January - March 2004,405143,,405143
Safety-Kleen,Hauler,TXR000050930,DK Dixon,Recycler,CAT080012602,January - March 2004,449743,,449743
Safety-Kleen,Hauler,TXR000050930,Advanced Environmental_ Inc.,Transfer Station,CAT080025711,January - March 2004,405143,,405143
Safety-Kleen,Hauler,TXR000050930,DK Dixon,Transfer Station,CAT080012602,January - March 2004,449743,,449743
San Joaquin Filter Recycling,Hauler,CAL000188148,San Joaquin Filter Recycling,Hauler,CAL000102751,January - March 2004,238208,,238208
San Joaquin Filter Recycling,Hauler,CAL000188148,San Joaquin Filter Recycling,Transfer Station,CAL000102751,January - March 2004,238208,,238208
Sawyer Petroleum,Hauler,CAD982481905,Demenno/Kerdoon,Recycler,CAT080013352,January - March 2004,4665,,4665
Starlite Reclamation,Hauler,CAR000148296,Starlite Reclamation,Hauler,CAR000148296,January - March 2004,91592,,91592
Swift Oil   Vacuum_ Inc.,Hauler,CAD982488470,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,January - March 2004,83275,,83275
Tadeo_ Ricardo D. Waste Oil Service,Hauler,CAD981634363,Demenno/Kerdoon,Recycler,CAT080013352,January - March 2004,200860,,200860
Thermo Fluids - Phoenix,Hauler,AZR000003681,Thermo Fluids - Phoenix,Hauler,AZR000003681,January - March 2004,2100,,2100
Thermo Fluids - Phoenix,Hauler,AZR000003681,Thermo Fluids - Phoenix,Recycler,AZR000003681,January - March 2004,2100,,2100
TTS Environmental_ Inc.,Hauler,CAD981694722,Ramos Environmental Services,Hauler,CAD044003556,January - March 2004,101045,,101045
TTS Environmental_ Inc.,Hauler,CAD981694722,Ramos Environmental Services,Transfer Station,CAD044003556,January - March 2004,101045,,101045
Universal Waste Oil Company,Hauler,CAL000183236,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,January - March 2004,72315,,72315
Western Environmental,Hauler,CAO000904540,Demenno/Kerdoon,Recycler,CAT080013352,January - March 2004,1175,,1175
Abbott's Waste Oil Service_ Inc.,Hauler,CAD981373665,Evergreen Environmental Services (Carson),Recycler,CAD981696420,April - June 2004,153212,,153212
Action Waste Oil Service_ LLC,Hauler,CAL000280876,Evergreen Environmental Services (Carson),Recycler,CAD981696420,April - June 2004,163454,,163454
Advanced Environmental_ Inc.,Recycler,CAT080025711,Demenno/Kerdoon,Recycler,CAT080013352,April - June 2004,82574,,82574
Advanced Industrial Recycling,Hauler,CAR000056580,Evergreen Environmental Services (Carson),Recycler,CAD981696420,April - June 2004,7151,,7151
Alarcon's_ Mark_ Waste Oil Service,Hauler,CAD980814446,Demenno/Kerdoon,Recycler,CAT080013352,April - June 2004,44785,,44785
Alarcon's_ Mark_ Waste Oil Service,Hauler,CAD980814446,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,April - June 2004,2070,,2070
All Petroleum Recovery Service LLC,Hauler,CAD981377633,Evergreen Oil,Recycler,CAD980887418,April - June 2004,130632,,130632
All Valley Disposal Inc.,Hauler,CAR000181586,Riverbank Oil Transfer,Recycler,CAL000190818,April - June 2004,78293,,78293
All Valley Environmental,Hauler,CAL000263169,Advanced Environmental_ Inc.,Recycler,CAT080025711,April - June 2004,51850,,51850
All Valley Environmental,Hauler,CAL000263169,Advanced Environmental_ Inc.,Transfer Station,CAT080025711,April - June 2004,51850,,51850
Alpha Oil Company,Hauler,CAL000331370,Demenno/Kerdoon,Recycler,CAT080013352,April - June 2004,38970,,38970
Alpha Oil Company,Hauler,CAL000331370,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,April - June 2004,92748,,92748
Alpha Oil Company,Hauler,CAL000331370,Evergreen Environmental Services (Carson),Recycler,CAD981696420,April - June 2004,1100,,1100
Amberwick Corporation,Hauler,CAL000827879,Demenno/Kerdoon,Recycler,CAT080013352,April - June 2004,4485,,4485
Amberwick Corporation,Hauler,CAL000827879,Veoliaes (formerly) Onyx Environmental Servic,Recycler,CAD008302903,April - June 2004,155,,155
Amberwick Corporation,Hauler,CAL000827879,Evergreen Environmental Services (Carson),Recycler,CAD981696420,April - June 2004,195766,,195766
American Oil Company,Hauler,CAD981427669,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,April - June 2004,395610,,395610
American Valley Waste Oil,Hauler,CAL000827878,Ramos Environmental Services,Hauler,CAD044003556,April - June 2004,12090,,12090
American Valley Waste Oil,Hauler,CAL000827878,Riverbank Oil Transfer,Recycler,CAL000190818,April - June 2004,470645,,470645
American Valley Waste Oil,Hauler,CAL000827878,Ramos Environmental Services,Transfer Station,CAD044003556,April - June 2004,12090,,12090
Arens Brothers Environmental,Hauler,CAL000276266,Ramos Environmental Services,Hauler,CAD044003556,April - June 2004,72381,,72381
Arens Brothers Environmental,Hauler,CAL000276266,DK Dixon,Hauler,CAT080012602,April - June 2004,3130,,3130
Arens Brothers Environmental,Hauler,CAL000276266,DK Dixon,Recycler,CAT080012602,April - June 2004,3130,,3130
Arens Brothers Environmental,Hauler,CAL000276266,Oil Re-Refining Company_ Inc. (ORRCO) - Klamath Fa,Recycler,ORD980980775,April - June 2004,3615,,3615
Arens Brothers Environmental,Hauler,CAL000276266,Ramos Environmental Services,Transfer Station,CAD044003556,April - June 2004,72381,,72381
Arens Brothers Environmental,Hauler,CAL000276266,DK Dixon,Transfer Station,CAT080012602,April - June 2004,3130,,3130
Asbury Environmental Services,Hauler,CAL000827844,Demenno/Kerdoon,Recycler,CAT080013352,April - June 2004,225974,,225974
Asbury Environmental Services-Compton,Hauler,CAD028277036,Demenno/Kerdoon,Recycler,CAT080013352,April - June 2004,7623727,,7623727
Bay Valley Environmental_ Inc.,Hauler,CAL000162034,Bayside Oil II_ Inc.,Hauler,CAD088838222,April - June 2004,67861,,67861
Bay Valley Environmental_ Inc.,Hauler,CAL000162034,Bayside Oil II_ Inc.,Transfer Station,CAD088838222,April - June 2004,67861,,67861
Bayside Oil II_ Inc.,Hauler,CAD088838222,Bayside Oil II_ Inc.,Hauler,CAD088838222,April - June 2004,124177,,124177
Bayside Oil II_ Inc.,Hauler,CAD088838222,Bayside Oil II_ Inc.,Transfer Station,CAD088838222,April - June 2004,124177,,124177
Black Gold Industries,Hauler,CAD983609678,Demenno/Kerdoon,Recycler,CAT080013352,April - June 2004,283940,,283940
