WASTE_STATE_CODE,GenGAL,Import,DispGAL,TxIn,TxOut,TxLosses,TSDF_EPA_ID,Year,Class,H039,H061,H050,H020,H135,H040,H132,H129,H081,OtherUnknown,Others
221,0,0,7656,0,0,0,NED981723513,2009,P-NE,0,0,0,0,0,7656,0,0,0,,
221,6347,0,6347,0,0,0,NVD980893663,2009,P-NV,6347,0,0,0,0,0,0,0,0,,
221,0,0,10571,9531,0,0,NVD980895338,2009,P-NV,9531,0,0,0,1040,0,0,0,0,,
221,0,0,1107056,4786,0,0,NVD982358483,2009,P-NV,4786,1102270,0,0,0,0,0,0,0,,
221,0,0,268282,63929,0,0,NVD982510711,2009,P-NV,63929,204353,0,0,0,0,0,0,0,,
221,0,0,35073,0,0,0,NVR000001032,2009,P-NV,0,35073,0,0,0,0,0,0,0,,
221,0,0,72155,0,0,0,NVR000001925,2009,P-NV,0,72155,0,0,0,0,0,0,0,,
221,0,0,180181,23764,0,0,NVR000080655,2009,P-NV,23764,0,156417,0,0,0,0,0,0,,
221,0,0,67326,44685,0,0,NVT330010000,2009,P-NV,44685,0,0,0,0,0,22641,0,0,,
221,0,0,54,54,0,0,OHD000816629,2009,P-OH,54,0,0,0,0,0,0,0,0,,
221,0,0,7,0,0,0,OHD980613541,2009,P-OH,0,0,0,0,0,7,0,0,0,,
221,0,0,0,0,0,0,OKD987084068,2009,P-OK,0,0,0,0,0,0,0,0,0,,
221,0,0,525345,525345,0,0,ORD180761934,2009,P-OR,525345,0,0,0,0,0,0,0,0,,
221,0,0,10,10,0,0,ORD980775,2009,P-OR,10,0,0,0,0,0,0,0,0,,
221,842,0,105233,148885,44863,0,ORD980975692,2009,P-OR,104022,0,842,0,0,0,0,369,0,,
221,1930,0,2515703,62339,0,0,ORD980980775,2009,P-OR,62339,0,2348275,0,0,0,0,105089,0,,
221,0,0,2872,2872,0,0,ORD987192978,2009,P-OR,2872,0,0,0,0,0,0,0,0,,
221,0,0,15644,0,0,0,ORQ000007781,2009,P-OR,0,15644,0,0,0,0,0,0,0,,
221,0,0,57,57,0,0,SQT099452708,2009,P-SQ,57,0,0,0,0,0,0,0,0,,
221,0,0,814,643,0,0,TND000772186,2009,P-TN,643,171,0,0,0,0,0,0,0,,
221,0,0,1677,1677,0,0,TND982157570,2009,P-TN,1677,0,0,0,0,0,0,0,0,,
221,0,0,9602,193,0,0,TXD055141378,2009,P-TX,193,0,0,0,0,9409,0,0,0,,
221,0,0,28,28,0,0,TXD074196338,2009,P-TX,28,0,0,0,0,0,0,0,0,,
221,0,0,129077,8062,0,0,TXD077603371,2009,P-TX,8062,121015,0,0,0,0,0,0,0,,
221,0,0,217,89,0,0,TXD982560294,2009,P-TX,89,0,0,0,0,0,0,128,0,,
221,0,0,839369,839369,0,0,UTD070534623,2009,P-UT,839369,0,0,0,0,0,0,0,0,,
221,0,0,138454,124,0,0,UTD981552177,2009,P-UT,124,0,17707,0,0,120623,0,0,0,,
221,0,0,76086,0,0,0,UTD982595795,2009,P-UT,0,0,0,0,0,76086,0,0,0,,
221,0,0,37,37,0,0,WAD020257945,2009,P-WA,37,0,0,0,0,0,0,0,0,,
221,0,0,3759,2044,0,0,WAD991281767,2009,P-WA,2044,495,0,0,248,0,0,0,0,972.000000,H111,

WASTE_STATE_CODE,GenGAL,Import,DispGAL,TxIn,TxOut,TxLosses,TSDF_EPA_ID,Year,Class,H039,H061,H050,H020,H135,H040,H132,H129,H081,OtherUnknown,Others
TOTAL
 ,61007698,480691,98049832,134623667,105744233,643789, ,285278, ,88763083,3796942,2554978,1262704,1043698,228578,226170,107579,27419,38681.000000, 

