GEN_EPA_ID,TSDF_EPA_ID,CAT_CODE,METH_CODE,CONTAINER_TYPE,QUANTITY,UNITS
CAL000009814,CAD028409019,223,H141,DM,125,P
CAL000266847,CAD028409019,223,H141,DM,185,P
CAL000266847,CAD028409019,223,H135,DM,45,G
CAL000009813,CAD028409019,223,H141,DM,350,P
CAL000009813,CAD028409019,223,H141,DM,400,P
CAL000266886,CAD982444481,223,H141,DM,250,G
CAR000123216,CAD982444481,223,H141,DM,10,G
CA0001039494,CAD044003556,223,H141,TT,100,G
CAL000110020,CAD044003556,223,H135,TT,120,G
CAD982001323,CAD028409019,223,H141,CF,1200,P
CAD029136058,CAT080013352,223,H039,TP,550,G
CAD981993249,CAT080013352,223,H039,TP,275,G
CAD983660200,CAT080013352,223,H039,TT,4500,G
CAS111111019,CAD028409019,223,H141,DM,300,P
CAL000335165,CAD044003556,223,H141,TT,35,G
CAL000310637,NVT330010000,223,H039,DM,275,G
CAL000335127,CAD044003556,223,H141,TT,45,G
CAL000335142,CAD044003556,223,H141,TT,40,G
CAL000324501,CAD044003556,223,H141,TT,30,G
CAL000291313,MOD981505555,223,H141,DM,200,P
CAD982039786,CAD008302903,223,H141,DM,250,P
CAL000207526,WIR000029751,223,H039,DM,100,P
CAL000330825,CAD980884183,223,H141,DM,325,P
CAD009212895,CAD980884183,223,H141,DF,125,P
CAD048456941,NVT330010000,223,H132,CM,20,Y
CAL002637119,CAD982444481,223,H141,DM,50,P
CAL000284803,CAD097030993,223,H141,DM,2100,P
CAL000284803,CAD097030993,223,H141,DM,90,G
CAL000186940,WIR000029751,223,H039,DM,75,P
CAL000187003,WIR000029751,223,H039,DM,75,P
CAL000186927,WIR000029751,223,H039,DM,50,P
CAL000187686,WIR000029751,223,H039,DM,75,P
CAL000187878,WIR000029751,223,H039,DM,50,P
CAL000207759,WIR000029751,223,H039,DM,75,P
CAL000159807,WIR000029751,223,H039,DM,50,P
CAL000278723,WIR000029751,223,H039,DM,50,P
CAL000187032,WIR000029751,223,H039,DM,75,P
CAL000187026,WIR000029751,223,H039,DM,50,P
CAL000187657,WIR000029751,223,H039,DM,50,P
CAD118352921,CAT080013352,223,H039,TT,4520,P
CAR000047167,CAD044003556,223,H141,TT,650,G
CAL000035817,TXD077603371,223,H141,DM,135,P
CAL000282841,CAD028409019,223,H141,DF,55,G
CAD981694722,NVD982358483,223,H039,TT,160,G
CA0000562165,CAD050806850,223,H141,CF,600,P
CAR000194191,CAD050806850,223,H141,CF,345,P
CAL000156988,CAD097030993,223,H141,DM,800,P
CAD981413859,NVD982358483,223,H039,TT,50,G
CA0000042143,AZR000501510,223,H141,CM,17,Y
CAD982374753,AZR000501510,223,H141,DM,250,P
CAL000827878,CAD044003556,223,H141,TT,200,G
CAL000178818,CAT080013352,223,H039,TP,1485,G
CAD981400559,ARD981057870,223,H061,DM,864,P
CAD029451945,CAD982446882,223,H141,TT,130,G
CAC002638189,CAD982444481,223,H141,DM,50,P
CAC002638113,CAD028409019,223,H135,TT,400,G
CAL000220586,CAD980887418,223,H141,DM,200,P
CAL000335191,CAD980887418,223,H141,DM,300,P
CAL000213776,CAD980887418,223,H141,DM,150,P
CAD982026433,CAD980887418,223,H141,DM,200,P
CAD118803717,CAD980887418,223,H141,DM,800,P
CAD118803717,CAD980887418,223,H141,DM,600,P
CAD118803717,CAD980887418,223,H141,CF,800,P
CAD981441363,CAD980887418,223,H141,DM,600,P
CAL000336760,CAD980887418,223,H141,DM,55,G
CAL000336760,CAD980887418,223,H141,DM,300,P
CAD983613399,CAD044429835,223,H141,DM,100,P
CAD983647603,CAD980887418,223,H141,TT,2090,G
CAR000015776,CAD980887418,223,H141,TT,315,G
CAL000335191,CAD980887418,223,H141,DM,300,P
CAR000148296,CAD981696420,223,H141,TT,220,G
CAD982347098,CAD980887418,223,H141,DM,300,P
CAD982446882,CAD980887418,223,H141,TT,1150,G
CAL000295142,CAD980887418,223,H141,TT,725,G
CAL000206339,CAD980887418,223,H141,TT,1500,G
CAL000176999,CAD981696420,223,H141,TT,240,G
CAL000297264,CAD981696420,223,H141,TT,440,G
CAL000145351,CAD981696420,223,H141,TT,230,G
CAL000142291,CAD097030993,223,H141,DM,600,P
CAL000251870,CAD097030993,223,H141,DM,60,P
CAD044003556,CAT080013352,223,H039,TT,6000,G
CAL000163596,CAD097030993,223,H141,DM,250,P
CAD009164021,CAD980675276,223,H132,CM,31400,P
CAL000050046,CAD982444481,223,H141,TT,200,G
CAL000314702,CAD982444481,223,H141,TT,300,G
CAL000224754,CAD097030993,223,H141,DM,100,P
CAL000290341,NVD982358483,223,,TT,,G
CAL000088555,CAD980887418,223,H141,DM,140,G
CAL000088555,CAD980887418,223,H141,CF,1800,P
CAL000088555,CAD980887418,223,H141,DM,700,P
CAD982401705,CAT080013352,223,H039,TT,1160,G
CAL000339256,CAT080013352,223,H039,TT,990,G
CAL000328480,CAD982446874,223,H141,TT,400,G
CAL000336619,CAD044003556,223,H141,TT,110,G
CAL000250365,CAD982446874,223,H141,TT,40,G
CAL000213928,CAD980887418,223,H141,DM,300,P
CAL000208111,CAD980887418,223,H141,DM,100,P
CAL000256373,CAT080013352,223,H039,TP,275,G
CAD982506719,CAD981696420,223,H141,TT,2900,G
CAL000275121,CAD097030993,223,H141,DM,100,G
CAL000182400,CAT080013352,223,H039,DM,55,G
CAD058466731,CAT080013352,223,H039,TT,575,G
CAL000144996,CAD981696420,223,H141,TT,1100,G
CAL000123023,CAT080013352,223,H039,TT,2800,G
CAR000012203,CAT080013352,223,H039,DM,50,G
CAD054787882,CAT080013352,223,H039,DM,85,G
CAL000278898,CAT080013352,223,H039,DM,55,G
CA7690390037,CAT080013352,223,H039,TT,5160,G
CAD982001323,CAD028409019,223,H141,CF,800,P
CAD028621944,CAT080013352,223,H039,DM,55,G
CAL000160235,CAD028409019,223,H141,DM,150,P
CAL000009806,CAD028409019,223,H141,DM,600,P
CAD008296402,CAD982444481,223,H141,DM,2500,P
CAD008296402,CAD982444481,223,H141,CM,2,Y
CAL000303949,CAD982444481,223,H141,TT,250,G
CAD006906283,CAT080013352,223,H039,TT,2400,G
CAL000004736,CAT080013352,223,H039,TT,55,G
CAL000161110,CAT080013352,223,H039,TT,200,G
CAD008334781,CAD982444481,223,H141,DF,5,G
CAD008232522,CAD008302903,223,H141,DM,400,P
CAR000130856,CAD981168107,223,H141,DM,150,P
CA4170023788,CA7170090016,223,H141,DM,277,P
CAL000196052,CAD982444481,223,H141,DM,650,G
CAL000284803,CAD097030993,223,H141,DM,275,G
CAR000002139,CAT080013352,223,H039,DF,45,G
CAD981693575,CAD028409019,223,H061,DM,350,P
CAR000047167,CAD044003556,223,H141,TT,500,G
